TAXON,ORDER,FAMILY,HYP,LOP,AL
Presbytis natunae,Primates,Cercopithecidae,1,0,0
Presbytis potenziani,Primates,Cercopithecidae,1,0,1
Presbytis rubicunda,Primates,Cercopithecidae,1,0,1
Presbytis siamensis,Primates,Cercopithecidae,1,0,0
Presbytis thomasi,Primates,Cercopithecidae,1,0,1
Procolobus verus,Primates,Cercopithecidae,1,0,1
Pygathrix cinerea,Primates,Cercopithecidae,1,0,0
Pygathrix nemaeus,Primates,Cercopithecidae,1,0,0
Pygathrix nigripes,Primates,Cercopithecidae,1,0,1
Pygathrix roxellana,Primates,Cercopithecidae,1,0,0
Rhinopithecus avunculus,Primates,Cercopithecidae,1,0,1
Rhinopithecus bieti,Primates,Cercopithecidae,1,0,1
Rhinopithecus brelichi,Primates,Cercopithecidae,1,0,1
Rhinopithecus roxellana,Primates,Cercopithecidae,1,0,1
Semnopithecus ajax,Primates,Cercopithecidae,1,0,0
Semnopithecus dussumieri,Primates,Cercopithecidae,1,0,0
Semnopithecus entellus,Primates,Cercopithecidae,1,0,0
Semnopithecus hector,Primates,Cercopithecidae,1,0,0
Semnopithecus hypoleucos,Primates,Cercopithecidae,1,0,0
Semnopithecus priam,Primates,Cercopithecidae,1,0,0
Semnopithecus schistaceus,Primates,Cercopithecidae,1,0,0
Simias concolor,Primates,Cercopithecidae,1,0,1
Theropithecus gelada,Primates,Cercopithecidae,1,0,0
Trachypithecus auratus,Primates,Cercopithecidae,1,0,1
Trachypithecus barbei,Primates,Cercopithecidae,1,0,0
Trachypithecus cristatus,Primates,Cercopithecidae,1,0,1
Trachypithecus delacouri,Primates,Cercopithecidae,1,0,0
Trachypithecus ebenus,Primates,Cercopithecidae,1,0,0
Trachypithecus francoisi,Primates,Cercopithecidae,1,0,1
Trachypithecus geei,Primates,Cercopithecidae,1,0,1
Trachypithecus germaini,Primates,Cercopithecidae,1,0,0
Trachypithecus hatinhensis,Primates,Cercopithecidae,1,0,0
Trachypithecus johnii,Primates,Cercopithecidae,1,0,1
Trachypithecus laotum,Primates,Cercopithecidae,1,0,0
Trachypithecus obscurus,Primates,Cercopithecidae,1,0,1
Trachypithecus phayrei,Primates,Cercopithecidae,1,0,1
Trachypithecus pileatus,Primates,Cercopithecidae,1,0,1
Trachypithecus poliocephalus,Primates,Cercopithecidae,1,0,0
Trachypithecus shortridgei,Primates,Cercopithecidae,1,0,0
Trachypithecus vetulus,Primates,Cercopithecidae,1,0,1
Allocebus trichotis,Primates,Cheirogaleidae,1,0,0
Cheirogaleus adipicaudatus,Primates,Cheirogaleidae,1,0,0
Cheirogaleus crossleyi,Primates,Cheirogaleidae,1,0,0
Cheirogaleus major,Primates,Cheirogaleidae,1,0,0
Cheirogaleus medius,Primates,Cheirogaleidae,1,0,0
Cheirogaleus minusculus,Primates,Cheirogaleidae,1,0,0
Cheirogaleus ravus,Primates,Cheirogaleidae,1,0,0
Cheirogaleus sibreei,Primates,Cheirogaleidae,1,0,0
Microcebus berthae,Primates,Cheirogaleidae,1,0,0
Microcebus griseorufus,Primates,Cheirogaleidae,1,0,0
Microcebus murinus,Primates,Cheirogaleidae,1,0,0
Microcebus myoxinus,Primates,Cheirogaleidae,1,0,0
Microcebus ravelobensis,Primates,Cheirogaleidae,1,0,0
Microcebus rufus,Primates,Cheirogaleidae,1,0,0
Microcebus sambiranensis,Primates,Cheirogaleidae,1,0,0
Microcebus tavaratra,Primates,Cheirogaleidae,1,0,0
Mirza coquereli,Primates,Cheirogaleidae,1,0,0
Phaner electromontis,Primates,Cheirogaleidae,1,0,0
Phaner furcifer,Primates,Cheirogaleidae,1,0,0
Phaner pallescens,Primates,Cheirogaleidae,1,0,0
Phaner parienti,Primates,Cheirogaleidae,1,0,0
Daubentonia madagascariensis,Primates,Daubentoniidae,1,0,0
Galago gallarum,Primates,Galagidae,1,0,0
Galago senegalensis,Primates,Galagidae,1,0,0
Galago zanzibaricus,Primates,Galagidae,1,0,0
Otolemur crassicaudatus,Primates,Galagidae,1,0,0
Otolemur garnettii,Primates,Galagidae,1,0,0
Euoticus elegantulus,Primates,Galagidae,1,0,0
Euoticus pallidus,Primates,Galagidae,1,0,0
Galago alleni,Primates,Galagidae,1,0,0
Galago cameronensis,Primates,Galagidae,1,0,0
Galago demidoff,Primates,Galagidae,1,0,0
Galago gabonensis,Primates,Galagidae,1,0,0
Galago granti,Primates,Galagidae,1,0,0
Galago matschiei,Primates,Galagidae,1,0,0
Galago moholi,Primates,Galagidae,1,0,0
Galago nyasae,Primates,Galagidae,1,0,0
Galago orinus,Primates,Galagidae,1,0,0
Galago rondoensis,Primates,Galagidae,1,0,0
Galago thomasi,Primates,Galagidae,1,0,0
Otolemur monteiri,Primates,Galagidae,1,0,0
Gorilla beringei,Primates,Hominidae,1,0,0
Gorilla gorilla,Primates,Hominidae,1,0,0
Homo sapiens,Primates,Hominidae,1,0,0
Pan paniscus,Primates,Hominidae,1,0,0
Pan troglodytes,Primates,Hominidae,1,0,0
Pongo abelii,Primates,Hominidae,1,0,0
Pongo pygmaeus,Primates,Hominidae,1,0,0
Bunopithecus hoolock,Primates,Hylobatidae,1,0,0
Hylobates agilis,Primates,Hylobatidae,1,0,0
Hylobates albibarbis,Primates,Hylobatidae,1,0,0
Hylobates concolor,Primates,Hylobatidae,1,0,0
Hylobates gabriellae,Primates,Hylobatidae,1,0,0
Hylobates klossii,Primates,Hylobatidae,1,0,0
Hylobates lar,Primates,Hylobatidae,1,0,0
Hylobates leucogenys,Primates,Hylobatidae,1,0,0
Hylobates moloch,Primates,Hylobatidae,1,0,0
Hylobates muelleri,Primates,Hylobatidae,1,0,0
Hylobates pileatus,Primates,Hylobatidae,1,0,0
Nomascus concolor,Primates,Hylobatidae,1,0,0
Nomascus gabriellae,Primates,Hylobatidae,1,0,0
Nomascus hainanus,Primates,Hylobatidae,1,0,0
Nomascus leucogenys,Primates,Hylobatidae,1,0,0
Nomascus siki,Primates,Hylobatidae,1,0,0
Symphalangus syndactylus,Primates,Hylobatidae,1,0,0
Avahi laniger,Primates,Indridae,1,2,0
Avahi occidentalis,Primates,Indridae,1,2,0
Avahi unicolor,Primates,Indridae,1,2,0
Indri indri,Primates,Indridae,1,1,0
Propithecus coquereli,Primates,Indridae,1,1,1
Propithecus deckenii,Primates,Indridae,1,1,1
Propithecus diadema,Primates,Indridae,1,1,1
Propithecus edwardsi,Primates,Indridae,1,1,1
Propithecus perrieri,Primates,Indridae,1,1,1
Propithecus tattersalli,Primates,Indridae,1,1,1
Propithecus verreauxi,Primates,Indridae,1,1,1
Eulemur albifrons,Primates,Lemuridae,1,0,1
Eulemur albocollaris,Primates,Lemuridae,1,0,1
Eulemur cinereiceps,Primates,Lemuridae,1,0,1
Eulemur collaris,Primates,Lemuridae,1,0,1
Eulemur coronatus,Primates,Lemuridae,1,0,1
Eulemur fulvus,Primates,Lemuridae,1,0,1
Eulemur macaco,Primates,Lemuridae,1,0,1
Eulemur mongoz,Primates,Lemuridae,1,0,1
Eulemur rubriventer,Primates,Lemuridae,1,0,1
Eulemur rufus,Primates,Lemuridae,1,0,1
Eulemur sanfordi,Primates,Lemuridae,1,0,1
Hapalemur alaotrensis,Primates,Lemuridae,1,0,1
Hapalemur aureus,Primates,Lemuridae,1,0,1
Hapalemur griseus,Primates,Lemuridae,1,0,1
Hapalemur occidentalis,Primates,Lemuridae,1,0,1
Lemur catta,Primates,Lemuridae,1,0,0
Prolemur simus,Primates,Lemuridae,1,0,0
Varecia rubra,Primates,Lemuridae,1,0,1
Varecia variegata,Primates,Lemuridae,1,0,1
Lepilemur ankaranensis,Primates,Megaladapidae,1,1,1
Arctocebus calabarensis,Primates,Lorisidae,1,0,0
Loris lydekkerianus,Primates,Lorisidae,1,0,0
Loris tardigradus,Primates,Lorisidae,1,0,0
Nycticebus bengalensis,Primates,Lorisidae,1,0,0
Nycticebus coucang,Primates,Lorisidae,1,0,0
Nycticebus pygmaeus,Primates,Lorisidae,1,0,0
Arctocebus aureus,Primates,Lorisidae,1,0,0
Perodicticus potto,Primates,Lorisidae,1,0,0
Lepilemur dorsalis,Primates,Megaladapidae,1,1,1
Lepilemur edwardsi,Primates,Megaladapidae,1,1,1
Lepilemur leucopus,Primates,Megaladapidae,1,1,1
Lepilemur microdon,Primates,Megaladapidae,1,1,1
Lepilemur mustelinus,Primates,Megaladapidae,1,1,1
Lepilemur ruficaudatus,Primates,Megaladapidae,1,1,1
Lepilemur septentrionalis,Primates,Megaladapidae,1,1,1
Callicebus bernhardi,Primates,Pitheciidae,1,0,0
Callicebus caligatus,Primates,Pitheciidae,1,0,0
Callicebus discolor,Primates,Pitheciidae,1,0,0
Callicebus dubius,Primates,Pitheciidae,1,0,0
Callicebus lucifer,Primates,Pitheciidae,1,0,0
Callicebus lugens,Primates,Pitheciidae,1,0,0
Callicebus pallescens,Primates,Pitheciidae,1,0,0
Callicebus purinus,Primates,Pitheciidae,1,0,0
Callicebus regulus,Primates,Pitheciidae,1,0,0
Callicebus stephennashi,Primates,Pitheciidae,1,0,0
Chiropotes chiropotes,Primates,Pitheciidae,1,0,0
Chiropotes israelita,Primates,Pitheciidae,1,0,0
Chiropotes utahickae,Primates,Pitheciidae,1,0,0
Tarsius bancanus,Primates,Tarsiidae,1,0,0
Tarsius dentatus,Primates,Tarsiidae,1,0,0
Tarsius pelengensis,Primates,Tarsiidae,1,0,0
Tarsius pumilus,Primates,Tarsiidae,1,0,0
Tarsius sangirensis,Primates,Tarsiidae,1,0,0
Tarsius syrichta,Primates,Tarsiidae,1,0,0
Tarsius tarsier,Primates,Tarsiidae,1,0,0
Elephas maximus,Proboscidea,Elephantidae,3,0,0
Loxodonta africana,Proboscidea,Elephantidae,3,0,0
Loxodonta cyclotis,Proboscidea,Elephantidae,3,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
