Site,Country,Lat,Long,Formation/Sequence,Min. Age,Max. Age,Mean Age,,
Okote,Kenya,4.00,36.37,Koobi Fora Fm,1.380,1.530,1.455,,
Olkesiteti,Kenya,-1.58,36.43,Oltulelei Fm,0.295,0.320,0.308,,
Olorgesailie,Kenya,-1.58,36.43,Olorgesailie Fm,0.500,1.000,0.750,,
Prolonged Drift,Kenya,-0.49,36.09,Prolonged Drift,-,-,0.005,,
Rusinga,Kenya,-0.41,34.18,Wasiriya Beds,0.035,0.100,0.068,,
Shulumai,Kenya,-0.10,37.29,Shulumai Rockshelter,-,-,0.005,,
Sidi Hakoma,Ethiopia,11.10,40.58,Hadar Fm,3.240,3.420,3.330,,
South Turkwell,Kenya,2.90,36.05,Nachukui Fm,3.200,3.580,3.390,,
Tinde,Tanzania,-3.80,33.58,Wembere-Manonga Fm,4.500,5.000,4.750,,
Tulu Bor,Kenya,4.00,36.37,Koobi Fora Fm,2.640,3.440,3.040,,
Upper Laetolil,Tanzania,-3.20,35.20,Laetolil Beds,3.600,3.850,3.725,,
Upper Lomekwi,Kenya,2.90,36.05,Nachukui Fm,2.530,2.820,2.675,,
Upper Nawata,Kenya,2.90,36.05,Nawata Fm,5.000,6.500,5.750,,
Upper Ndolanya,Tanzania,-3.20,35.20,Ndolanya Beds,2.660,2.660,2.660,,
Upper Bed II,Tanzania,-2.98,35.30,Olduvai Gorge,1.200,1.740,1.470,,
Upper Burgi,Kenya,4.00,36.37,Koobi Fora Fm,1.870,2.000,1.935,,
Usno,Ethiopia,4.50,36.00,Usno Fm,3.000,3.300,3.150,,
